ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GOBP_NEUTROPHIL_MIGRATION,GOBP_NEUTROPHIL_MIGRATION,109,-0.731525083,-2.316374986,1.00E-10,7.75E-09,5.74E-09,1738,"tags=55%, list=12%, signal=49%",6279/83700/6367/6369/3672/54210/5293/6349/3554/1441/6368/57126/6358/1800/2529/3552/255231/1906/10344/2526/1236/3680/7042/6372/2919/64127/6364/6351/6352/5142/10562/4354/6348/2207/56833/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362
GOBP_GRANULOCYTE_MIGRATION,GOBP_GRANULOCYTE_MIGRATION,132,-0.718468737,-2.299860848,1.00E-10,7.75E-09,5.74E-09,1738,"tags=54%, list=12%, signal=48%",6279/83700/6367/1435/6369/3672/54210/5293/6349/3554/1441/6368/57126/11314/6358/6278/1800/2529/3552/255231/5919/1906/10344/2526/1236/7857/3680/146433/7042/6372/2919/64127/7057/6504/6364/1436/6351/6352/1240/5142/301/10562/4354/6348/2207/56833/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362
GOBP_NEUTROPHIL_CHEMOTAXIS,GOBP_NEUTROPHIL_CHEMOTAXIS,91,-0.740324712,-2.297521686,1.00E-10,7.75E-09,5.74E-09,1738,"tags=57%, list=12%, signal=51%",6279/83700/6367/6369/3672/54210/5293/6349/1441/6368/6358/1800/1906/10344/1236/3680/7042/6372/2919/64127/6364/6351/6352/5142/4354/6348/2207/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362
GOBP_GRANULOCYTE_CHEMOTAXIS,GOBP_GRANULOCYTE_CHEMOTAXIS,112,-0.723050413,-2.28931737,1.00E-10,7.75E-09,5.74E-09,1738,"tags=55%, list=12%, signal=49%",6279/83700/6367/1435/6369/3672/54210/5293/6349/1441/6368/6358/6278/1800/5919/1906/10344/1236/7857/3680/146433/7042/6372/2919/64127/7057/6504/6364/1436/6351/6352/1240/5142/301/4354/6348/2207/6354/3689/6288/7060/3071/6347/719/728/2921/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/6366/1803/6374/6362
GOBP_MONOCYTE_CHEMOTAXIS,GOBP_MONOCYTE_CHEMOTAXIS,60,-0.743034158,-2.197687119,1.00E-10,7.75E-09,5.74E-09,1906,"tags=58%, list=13%, signal=51%",4067/3570/6367/6369/6349/6368/6358/6278/729230/10344/6364/2350/1511/199/6351/6352/6387/301/2358/6348/1230/56833/6354/6347/7941/6363/6355/6357/3627/9353/6356/3569/6366/6362/26585
GOBP_MYELOID_LEUKOCYTE_MIGRATION,GOBP_MYELOID_LEUKOCYTE_MIGRATION,206,-0.654134432,-2.159205357,1.00E-10,7.75E-09,5.74E-09,1738,"tags=44%, list=12%, signal=39%",6279/83700/6367/1435/6369/3672/54210/5293/6349/4345/3554/1441/6368/57126/11314/1113/140885/6358/6278/1800/2529/3552/729230/4254/255231/5919/26228/1906/10344/2526/1236/7857/3680/146433/7042/6372/2919/64127/54209/7057/6504/6364/2350/1511/199/1436/6688/6351/6352/1240/6387/5142/301/2358/10562/4354/6348/2207/1230/56833/6354/3689/6288/7060/11117/3071/6347/719/728/2921/7941/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/3569/4920/6366/1803/6374/6362/26585
GOBP_RESPONSE_TO_CHEMOKINE,GOBP_RESPONSE_TO_CHEMOKINE,83,-0.694186354,-2.140636359,1.00E-10,7.75E-09,5.74E-09,2452,"tags=61%, list=17%, signal=51%",1235/3577/1232/6376/7852/4067/7066/10019/6367/6369/6349/6368/10663/6358/729230/1906/2833/10344/1236/6372/2919/54209/1234/6364/1233/1237/643/6351/6352/1240/6387/4015/6348/1230/6354/11240/6347/2921/6363/6373/6355/2920/6357/4283/3627/9353/6356/10563/6366/6374/6362
GOBP_LEUKOCYTE_CHEMOTAXIS,GOBP_LEUKOCYTE_CHEMOTAXIS,208,-0.633818085,-2.089822519,1.00E-10,7.75E-09,5.74E-09,2600,"tags=50%, list=18%, signal=42%",3958/23604/5294/2155/2841/1235/3577/1269/57580/6376/7409/80270/727/7852/7424/4067/3570/11151/6279/83700/6367/1435/6369/3672/54210/5293/6349/1441/2867/6368/4739/1113/6358/6278/1800/729230/9023/5919/26228/1906/10344/1236/7857/3680/146433/7042/6372/2919/64127/7057/1234/6504/2621/6364/2350/1511/643/199/1436/6688/6351/6352/1240/1880/6387/5142/301/2358/4354/6348/2207/1230/56833/6354/3689/6288/7060/11240/3071/6347/719/3586/728/2921/7941/3553/6363/6373/6355/2920/6357/4283/3627/9353/6356/7130/10563/3569/5764/6366/1803/6374/6362/26585
GOBP_TYPE_II_INTERFERON_PRODUCTION,GOBP_TYPE_II_INTERFERON_PRODUCTION,106,-0.659277019,-2.081060783,1.00E-10,7.75E-09,5.74E-09,2280,"tags=50%, list=16%, signal=43%",10865/8809/171389/9173/3670/7805/246778/8140/56253/9971/3554/914/3123/6556/916/140885/3113/4049/729230/50943/10666/1236/51284/7124/10125/64127/3115/114836/10859/6504/2621/64581/10148/54440/51744/9466/3594/558/5142/7292/26191/84868/929/3586/29126/1378/3553/51311/3394/3595/3624/80380/11006
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,188,-0.632350316,-2.07482963,1.00E-10,7.75E-09,5.74E-09,1927,"tags=37%, list=13%, signal=33%",1053/4067/7066/57088/8140/27063/11027/9971/7096/199713/140885/8564/23643/3552/7128/923/26228/7133/81793/497189/7431/2048/7124/79931/6372/2919/2672/64127/54209/10859/1234/942/9450/114548/1511/1437/10333/6688/558/6352/5142/7292/26191/2213/10417/84868/6348/941/3055/929/6347/4064/3586/29126/2921/4057/3553/3394/6373/10288/2920/4360/4283/3627/10563/11009/1440/80380/3569/6374
