"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"abs"	"DEG_type"
"ANXA10"	5.41833968287526	4.59875288220551	13.6054812682352	6.29902196056819e-35	1.07751069657479e-30	68.4777034514129	5.41833968287526	"UP"
"EPHB6"	2.29539221987316	9.75250977443609	12.5125086091702	1.48611547637543e-30	1.2710745669439e-26	58.5796745049053	2.29539221987316	"UP"
"MMD"	-1.55645894820296	8.23719674185464	-12.3770496278074	5.0527606827376e-30	2.79571203667709e-26	57.3768717046689	1.55645894820296	"Down"
"D4S234E"	3.12556476744186	6.90509749373434	12.3395590819565	7.08240748636225e-30	2.79571203667709e-26	57.0449897498489	3.12556476744186	"UP"
"PLXNB3"	1.93773410147992	8.57999573934837	12.3236602278537	8.17172932502364e-30	2.79571203667709e-26	56.9043808293356	1.93773410147992	"UP"
"BCAT1"	-2.43860761627907	8.52017869674185	-12.1547563642998	3.71711876283491e-29	8.37513407148812e-26	55.415613393723	2.43860761627907	"Down"
"TUBB2A"	-1.68570283826638	9.56333233082707	-12.1405655911915	4.21984154357727e-29	8.37513407148812e-26	55.290954409527	1.68570283826638	"Down"
"GFPT2"	-3.00713991014799	6.39670551378446	-12.1244836581578	4.87183432831018e-29	8.37513407148812e-26	55.1497627004893	3.00713991014799	"Down"
"ZBED2"	-2.70885238900634	4.91676441102757	-12.1239291463323	4.89602132087462e-29	8.37513407148812e-26	55.1448958733109	2.70885238900634	"Down"
"C10orf58"	1.21695692389006	11.3018213032581	11.9537033999383	2.22834697640575e-28	3.46528212530879e-25	53.6557167110911	1.21695692389006	"UP"
"SSH3"	1.31839869450318	11.4149390977444	11.940857374947	2.49733008756512e-28	3.55994403982408e-25	53.5437335721311	1.31839869450318	"UP"
"TNFAIP8L3"	-1.92040285412262	5.38045839598997	-11.8840393013584	4.13132008028948e-28	5.43618163795629e-25	53.0491098121894	1.92040285412262	"Down"
"DEPDC7"	-2.23714234143763	5.02290250626566	-11.8175156783996	7.43749825149074e-28	9.08756036357147e-25	52.471413915656	2.23714234143763	"Down"
"FSD1L"	-1.76384397463002	4.0695984962406	-11.7780249294603	1.05362512944668e-27	1.20155409762099e-24	52.1292044482972	1.76384397463002	"Down"
"SPOCD1"	2.59345643234673	8.14258847117794	11.7698624253596	1.1321936975978e-27	1.21045658694425e-24	52.0585401677699	2.59345643234673	"UP"
"C9orf21"	-1.26649724630021	6.37830651629073	-11.4301167501335	2.21173405974343e-26	2.10188460144284e-23	49.1385745941538	1.26649724630021	"Down"
"CYP26B1"	-1.97850230443975	5.64180551378446	-11.4002988125451	2.86509793307883e-26	2.57949290753929e-23	48.8843308422158	1.97850230443975	"Down"
"CSF2RB"	-1.79485674418605	7.22426541353383	-11.3826131279439	3.33996224243797e-26	2.80619004952624e-23	48.7336913800533	1.79485674418605	"Down"
"NAV2"	-1.4565309883721	9.00631604010025	-11.3790408953628	3.44498953817673e-26	2.80619004952624e-23	48.7032788975284	1.4565309883721	"Down"
"TCP11L1"	-1.0685135782241	7.17274110275689	-11.2734793631995	8.58188974323012e-26	6.67280936125884e-23	47.8067640841794	1.0685135782241	"Down"
"BACH2"	-1.86797888477801	4.64074260651629	-11.2414160601982	1.13140063051519e-25	8.41466921112734e-23	47.5353026177419	1.86797888477801	"Down"
"CCL18"	-3.13474985200846	6.83264511278195	-11.205953220963	1.53523571088934e-25	1.09423925293638e-22	47.2355230863298	3.13474985200846	"Down"
"SH3KBP1"	-1.48333727272727	9.62257994987469	-11.1648837311442	2.18486740984601e-25	1.49497367651303e-22	46.8889612177638	1.48333727272727	"Down"
"CDC25B"	-1.15967700317125	10.4817654135338	-11.1084870644185	3.54323096410377e-25	2.1646610311414e-22	46.4141415257044	1.15967700317125	"Down"
"WNT7B"	1.54557060253699	10.1776270676692	11.0382476856247	6.45872957469308e-25	3.68276760348999e-22	45.8245394050775	1.54557060253699	"UP"
"CNN3"	-1.15818652748415	11.1668749373434	-11.0258465603678	7.17950614134135e-25	3.86167540214228e-22	45.7206468592341	1.15818652748415	"Down"
"KIAA1755"	-2.37675795983087	5.03288195488722	-11.0251222804042	7.22399233418408e-25	3.86167540214228e-22	45.7145809882672	2.37675795983087	"Down"
"SLC30A4"	-1.59630725158563	4.48588671679198	-11.0186346657407	7.63489504482779e-25	3.88786883358016e-22	45.6602563819285	1.59630725158563	"Down"
"HS3ST3A1"	-2.16934161733615	3.76214411027569	-11.0172197352565	7.72755409457065e-25	3.88786883358016e-22	45.6484105862568	2.16934161733615	"Down"
"ALPK2"	-2.32355692917547	4.88223258145363	-11.0017427654183	8.81708263625478e-25	4.30928615930784e-22	45.5188900481563	2.32355692917547	"Down"
"LILRA6"	-2.04385278541226	4.86418596491228	-10.9914125658508	9.62798458153728e-25	4.57489734032713e-22	45.432494508567	2.04385278541226	"Down"
"CLIC4"	-1.46673201374207	10.9815	-10.964348967958	1.21213892386212e-24	5.48989684371026e-22	45.2063555784381	1.46673201374207	"Down"
"SLITRK6"	2.79387718816067	8.85465463659148	10.9636322655432	1.21954916439255e-24	5.48989684371026e-22	45.200370966448	2.79387718816067	"UP"
"GLIPR2"	-1.57477989957716	8.04686315789474	-10.9315551093316	1.60167148284006e-24	7.02517753473387e-22	44.9327339999914	1.57477989957716	"Down"
"PRRX1"	-2.35797010042284	7.80047844611529	-10.9251134017765	1.69169982476488e-24	7.23455430060703e-22	44.8790379233178	2.35797010042284	"Down"
"FAP"	-2.58298137420719	7.46146040100251	-10.9166069351226	1.818337248201e-24	7.58645779700641e-22	44.808156629425	2.58298137420719	"Down"
"STX2"	-1.34881591437632	6.93589072681704	-10.9087679775433	1.94336353844891e-24	7.91504206873977e-22	44.7428636523573	1.34881591437632	"Down"
