"ENTREZID"	"SYMBOL"
"1"	"6279"	"S100A8"
"2"	"83700"	"JAM3"
"3"	"6367"	"CCL22"
"4"	"6369"	"CCL24"
"5"	"3672"	"ITGA1"
"6"	"54210"	"TREM1"
"7"	"5293"	"PIK3CD"
"8"	"6349"	"CCL3L1"
"9"	"3554"	"IL1R1"
"10"	"1441"	"CSF3R"
"11"	"6368"	"CCL23"
"12"	"57126"	"CD177"
"13"	"6358"	"CCL14"
"14"	"1800"	"DPEP1"
"15"	"2529"	"FUT7"
"16"	"3552"	"IL1A"
"17"	"255231"	"MCOLN2"
"18"	"1906"	"EDN1"
"19"	"10344"	"CCL26"
"20"	"2526"	"FUT4"
"21"	"1236"	"CCR7"
"22"	"3680"	"ITGA9"
"23"	"7042"	"TGFB2"
"24"	"6372"	"CXCL6"
"25"	"2919"	"CXCL1"
"26"	"64127"	"NOD2"
"27"	"6364"	"CCL20"
"28"	"6351"	"CCL4"
"29"	"6352"	"CCL5"
"30"	"5142"	"PDE4B"
"31"	"10562"	"OLFM4"
"32"	"4354"	"MPP1"
"33"	"6348"	"CCL3"
"34"	"2207"	"FCER1G"
"35"	"56833"	"SLAMF8"
"36"	"6354"	"CCL7"
"37"	"3689"	"ITGB2"
"38"	"6288"	"SAA1"
"39"	"7060"	"THBS4"
"40"	"3071"	"NCKAP1L"
"41"	"6347"	"CCL2"
"42"	"719"	"C3AR1"
"43"	"728"	"C5AR1"
"44"	"2921"	"CXCL3"
"45"	"3553"	"IL1B"
"46"	"6363"	"CCL19"
"47"	"6373"	"CXCL11"
"48"	"6355"	"CCL8"
"49"	"2920"	"CXCL2"
"50"	"6357"	"CCL13"
"51"	"4283"	"CXCL9"
"52"	"3627"	"CXCL10"
"53"	"9353"	"SLIT2"
"54"	"6356"	"CCL11"
"55"	"7130"	"TNFAIP6"
"56"	"10563"	"CXCL13"
"57"	"6366"	"CCL21"
"58"	"1803"	"DPP4"
"59"	"6374"	"CXCL5"
"60"	"6362"	"CCL18"
"61"	"1435"	"CSF1"
"62"	"11314"	"CD300A"
"63"	"6278"	"S100A7"
"64"	"5919"	"RARRES2"
"65"	"7857"	"SCG2"
"66"	"146433"	"IL34"
"67"	"7057"	"THBS1"
"68"	"6504"	"SLAMF1"
"69"	"1436"	"CSF1R"
"70"	"1240"	"CMKLR1"
"71"	"301"	"ANXA1"
"72"	"4067"	"LYN"
"73"	"3570"	"IL6R"
"74"	"729230"	"CCR2"
"75"	"2350"	"FOLR2"
"76"	"1511"	"CTSG"
"77"	"199"	"AIF1"
"78"	"6387"	"CXCL12"
"79"	"2358"	"FPR2"
"80"	"1230"	"CCR1"
"81"	"7941"	"PLA2G7"
"82"	"3569"	"IL6"
"83"	"26585"	"GREM1"
"84"	"4345"	"CD200"
"85"	"1113"	"CHGA"
"86"	"140885"	"SIRPA"
"87"	"4254"	"KITLG"
"88"	"26228"	"STAP1"
"89"	"54209"	"TREM2"
"90"	"6688"	"SPI1"
"91"	"11117"	"EMILIN1"
"92"	"4920"	"ROR2"
"93"	"1235"	"CCR6"
"94"	"3577"	"CXCR1"
"95"	"1232"	"CCR3"
"96"	"6376"	"CX3CL1"
"97"	"7852"	"CXCR4"
"98"	"7066"	"THPO"
"99"	"10019"	"SH2B3"
"100"	"10663"	"CXCR6"
